n;Lista;Tablica malejąca;Kopiec
0;1002;771;471
100;80;120;231
200;80;130;251
300;81;140;280
400;80;140;281
500;80;141;290
600;80;140;311
700;90;150;321
800;90;160;310
900;70;140;311
1000;81;140;301
1100;80;151;330
1200;80;160;330
1300;80;151;320
1400;120;220;461
1500;70;151;330
1600;70;151;330
1700;80;141;320
1800;71;150;321
1900;80;150;321
2000;70;141;320
2100;80;150;341
2200;80;160;350
2300;81;150;351
2400;70;150;351
2500;71;150;351
2600;80;181;350
2700;80;160;351
2800;70;150;351
2900;70;150;341
3000;70;160;350
3100;80;151;340
3200;80;150;361
3300;81;160;351
3400;71;160;351
3500;80;160;351
3600;70;161;351
3700;81;160;351
3800;80;160;350
3900;70;150;351
4000;70;150;351
4100;80;170;380
4200;80;161;381
4300;80;181;390
4400;70;160;381
4500;70;170;381
4600;81;160;381
4700;70;161;371
4800;70;161;361
4900;100;200;431
5000;70;161;380
5100;80;161;371
5200;70;161;370
5300;80;161;370
5400;70;181;371
5500;71;160;371
5600;70;161;381
5700;70;171;370
5800;70;161;370
5900;70;161;370
6000;80;180;2355
6100;80;170;371
6200;80;170;371
6300;80;160;391
6400;80;170;371
6500;80;161;370
6600;70;161;371
6700;80;170;371
6800;70;160;371
6900;70;170;370
7000;80;171;371
7100;80;160;370
7200;71;160;381
7300;80;161;370
7400;80;160;381
7500;80;171;370
7600;80;170;371
7700;80;160;371
7800;80;160;380
7900;1944;160;381
8000;80;180;391
8100;80;161;371
8200;90;180;421
8300;80;180;401
8400;80;171;401
8500;81;170;411
8600;80;180;400
8700;80;170;391
8800;70;170;401
8900;80;171;400
9000;81;170;391
9100;70;170;401
9200;70;171;400
9300;70;180;401
9400;80;170;400
9500;80;170;401
9600;80;181;401
9700;70;180;411
9800;100;210;441
9900;80;191;400
10000;70;170;391
10100;81;170;391
10200;80;170;391
10300;70;170;401
10400;80;190;401
10500;80;170;401
10600;81;190;411
10700;70;170;401
10800;70;170;411
10900;70;171;431
11000;71;170;401
11100;70;171;391
11200;70;170;411
11300;70;170;401
11400;71;170;391
11500;70;171;401
11600;70;180;421
11700;80;190;401
11800;80;171;401
11900;80;170;391
12000;80;180;401
12100;71;170;401
12200;80;180;401
12300;80;180;401
12400;80;181;410
12500;81;170;401
12600;81;180;391
12700;81;170;401
12800;70;180;401
12900;70;171;401
13000;80;170;401
13100;120;250;562
13200;80;170;411
13300;80;170;401
13400;80;170;401
13500;80;181;400
13600;70;170;401
13700;70;170;401
13800;70;170;401
13900;80;180;401
14000;80;170;411
14100;80;180;401
14200;70;170;401
14300;1904;180;401
14400;80;171;400
14500;70;171;390
14600;80;171;411
14700;100;200;471
14800;80;171;401
14900;80;170;401
15000;80;171;401
15100;81;170;401
15200;80;171;400
15300;70;170;411
15400;70;180;401
15500;70;181;390
15600;70;201;401
15700;80;2124;2766
15800;70;171;411
15900;81;170;401
16000;71;180;401
16100;70;180;401
16200;70;171;380
16300;110;211;491
16400;80;181;421
16500;80;191;420
16600;80;190;431
16700;80;180;421
16800;80;181;421
16900;80;180;431
17000;71;180;421
17100;80;180;421
17200;80;191;420
17300;70;180;431
17400;80;180;430
17500;70;180;421
17600;80;181;421
17700;81;180;421
17800;80;181;430
17900;80;180;421
18000;80;181;420
18100;70;181;421
18200;80;210;420
18300;70;180;421
18400;70;180;441
18500;80;201;431
18600;70;181;431
18700;80;181;421
18800;80;180;431
18900;70;180;431
19000;70;180;421
19100;70;181;451
19200;70;181;421
19300;70;180;441
19400;70;180;421
19500;71;190;431
19600;70;190;441
19700;70;181;431
19800;71;180;431
19900;80;181;431
20000;70;181;421
20100;70;190;431
20200;70;180;421
20300;70;180;421
20400;70;180;421
20500;70;181;400
20600;70;181;421
20700;2004;191;430
20800;70;180;441
20900;80;201;420
21000;70;180;421
21100;80;181;431
21200;81;200;421
21300;71;180;431
21400;80;180;431
21500;80;191;440
21600;70;180;431
21700;80;190;441
21800;80;181;450
21900;80;181;421
22000;70;181;420
22100;80;180;431
22200;80;180;421
22300;80;180;420
22400;81;180;431
22500;80;180;421
22600;81;180;421
22700;70;181;431
22800;80;190;421
22900;70;181;420
23000;80;180;430
23100;80;181;421
23200;70;181;451
23300;70;180;421
23400;80;180;431
23500;80;180;421
23600;80;191;421
23700;80;180;421
23800;81;180;421
23900;80;180;431
24000;81;180;421
24100;80;181;431
24200;80;180;421
24300;80;181;421
24400;80;181;421
24500;80;180;421
24600;71;190;420
24700;80;180;421
24800;80;180;420
24900;80;180;431
25000;80;181;420
25100;81;180;431
25200;70;180;421
25300;80;181;421
25400;80;180;420
25500;70;181;420
25600;80;201;420
25700;70;180;420
25800;70;181;421
25900;70;181;441
26000;70;180;420
26100;80;180;421
26200;71;180;421
26300;80;191;431
26400;70;180;420
26500;70;180;431
26600;70;180;421
26700;70;180;421
26800;80;170;421
26900;70;181;430
27000;80;181;421
27100;1784;180;431
27200;80;181;420
27300;80;191;451
27400;80;181;431
27500;80;181;420
27600;80;181;431
27700;80;200;431
27800;80;180;430
27900;80;180;421
28000;80;191;421
28100;70;181;431
28200;80;180;420
28300;81;180;421
28400;70;180;421
28500;80;181;431
28600;70;171;431
28700;80;180;431
28800;70;180;421
28900;70;181;421
29000;80;180;431
29100;80;180;420
29200;70;180;420
29300;70;180;421
29400;70;180;421
29500;70;180;421
29600;70;180;421
29700;80;191;421
29800;80;180;431
29900;80;180;431
30000;80;181;430
30100;70;181;421
30200;70;180;421
30300;80;181;421
30400;70;181;431
30500;80;180;421
30600;80;191;431
30700;81;180;431
30800;81;190;411
30900;80;180;431
31000;81;180;421
31100;80;180;421
31200;80;180;420
31300;80;180;420
31400;80;200;451
31500;80;180;421
31600;70;171;421
31700;70;181;421
31800;81;180;431
31900;80;180;421
32000;80;181;431
32100;70;180;421
32200;71;180;421
32300;70;180;430
32400;80;190;430
32500;70;180;421
32600;80;180;431
32700;70;181;440
32800;90;190;451
32900;80;191;451
33000;70;191;451
33100;70;191;451
33200;80;191;471
33300;80;180;441
33400;80;190;450
33500;3837;210;460
33600;81;190;441
33700;70;180;451
33800;80;180;451
33900;70;191;451
34000;70;190;451
34100;70;190;451
34200;70;190;441
34300;70;180;441
34400;70;191;451
34500;70;180;441
34600;70;191;451
34700;70;180;441
34800;70;180;440
34900;70;191;451
35000;80;191;451
35100;70;190;451
35200;71;180;441
35300;80;191;450
35400;71;180;441
35500;70;200;451
35600;70;180;471
35700;80;191;451
35800;71;180;441
35900;81;190;451
36000;70;180;451
36100;80;191;451
36200;91;190;461
36300;80;191;461
36400;80;180;441
36500;70;181;441
36600;80;191;451
36700;80;191;451
36800;80;191;451
36900;101;230;511
37000;81;180;441
37100;80;190;441
37200;80;190;451
37300;81;190;451
37400;80;191;441
37500;81;190;451
37600;80;190;451
37700;80;190;440
37800;81;190;451
37900;80;191;450
38000;70;180;441
38100;80;190;451
38200;80;190;461
38300;80;200;461
38400;81;180;441
38500;70;191;451
38600;70;190;451
38700;71;190;451
38800;80;191;451
38900;81;180;441
39000;80;180;450
39100;81;190;451
39200;80;180;441
39300;70;391;471
39400;71;190;441
39500;70;190;451
39600;81;200;451
39700;80;191;451
39800;70;391;460
39900;6172;200;461
40000;80;191;451
40100;80;190;451
40200;70;180;461
40300;70;191;451
40400;70;191;451
40500;70;191;440
40600;70;181;451
40700;70;181;461
40800;70;181;441
40900;70;190;451
41000;71;180;441
41100;70;180;451
41200;70;181;451
41300;81;2104;2314
41400;70;180;451
41500;80;190;451
41600;80;190;451
41700;80;190;451
41800;70;191;451
41900;80;191;431
42000;80;201;451
42100;80;191;451
42200;80;191;451
42300;80;200;450
42400;80;190;451
42500;80;190;441
42600;80;190;461
42700;80;181;440
42800;80;191;451
42900;70;180;441
43000;80;201;441
43100;80;190;451
43200;71;180;451
43300;70;181;441
43400;80;191;461
43500;80;191;471
43600;70;180;471
